"ID";"TOMA";"SEXO";"EDADJUBILACION";"EDAD";"ECIVIL";"TIEMPOVIUDA";"EDADCONY";"ANIMO";"OCUPACION";"ULTIMAOCUPACION";"HACECUANTO";"CAMBIOJUBIL";"COMOCAMBIO";"NIVELESTUDIOS";"VECESMEDICO";"SALUDSUBJ";"SALUDSATIS";"VIDASTIS";"HACIENDOMAYOR";"CONQUIENVIVE";"MIEMBROSHOGAR";"VECES1";"VECES2";"VECES3";"VECES4";"VECES5";"VECES6";"VECES7";"VECES8";"VECES9";"VECES10";"VECES11";"VECES12";"VECES13";"LLEVA1";"LLEVA2";"LLEVA3";"LLEVA4";"LLEVA5";"LLEVA6";"LLEVA7";"LLEVA8";"LLEVA9";"LLEVA10";"LLEVA11";"LLEVA12";"CURSO1";"PROFE1";"CURSO2";"PROFE2";"CURSO3";"PROFE3";"CURSO4";"PROFE4";"MOTIVO1";"MOTIVO2";"MOTIVO3";"MOTIVO4";"MOTIVO5";"MOTIVO6";"MOTIVO7";"MOTIVO8";"MOTIVO9";"MOTIVO10";"MOTIVO11";"MOTIVO12";"MOTIVO13";"MOTIVO14";"MOTIVO15";"MOTIVO16";"MOTIVO17";"MOTIVO18";"MOTIVO19";"CURSOANT1";"PROFEANT1";"CURSOANT2";"PROFEANT2";"CURSOANT3";"PROFEANT3";"AÑOS";"LOGROS1";"LOGROS2";"LOGROS3";"LOGROS4";"LOGROS5";"LOGROS6";"LOGROS7";"LOGROS8";"LOGROS9";"LOGROS10";"LOGROS11";"LOGROS12";"LOGROS13";"LOGROS14";"LOGROS15";"LOGROS16"
36;13;2;60;68;2;NA;68;4;"DOCENTE                                         ";"LABORATORIO                                     ";8;0;NA;4;NA;2;2;6;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;NA;NA;NA;NA;NA;5;3;NA;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;13;2;60;61;2;NA;63;0;"AMA DE CASA                                     ";"AMA DE CASA                                     ";1;0;NA;5;1;2;2;0;3;5;4;7;1;NA;7;NA;NA;NA;1;4;2;NA;5;1;1;3;0;3;0;0;3;3;3;3;3;3;"INTERNET PC Y CELULAR                           ";"CANDELARIA SIMON                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";9;3;1;1;1;3;3;3;4;9;4;4;3;4;9;1;4;1;4;"ATENCION MEMORIA EN ACCION                      ";"GASTON MOISSET                                  ";"ENTRENAMIENTO INTELECTUAL Y COGNITIVO           ";"GASTON MOISSET                                  ";"REDES SOCIALES CON MI NOTEBOOK                  ";"ELSA BITAR                                      ";4;4;3;4;2;4;3;4;4;3;3;4;4;4;4;3;4
38;13;2;60;67;4;NA;NA;NA;"JUBILADA                                        ";"                                                ";NA;1;3;5;NA;3;3;9;6;1;1;NA;0;NA;4;4;NA;NA;NA;NA;NA;2;5;NA;NA;3;NA;5;NA;3;NA;NA;4;4;5;4;"PNL                                             ";"CORA GOTUSO                                     ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";2;4;1;NA;NA;4;NA;4;1;1;4;4;NA;NA;NA;NA;NA;NA;4;"SOCIOLOGIA                                      ";"PASCUAL                                         ";"INGLES                                          ";"                                                ";"                                                ";"                                                ";NA;3;NA;3;3;3;2;4;3;3;2;3;3;3;3;3;3
39;13;2;61;NA;6;5;NA;4;"AMA DE CASA                                     ";"PROFESORA DE MUSICA                             ";7;1;2;4;NA;2;2;9;9;1;NA;0;0;5;5;5;5;1;0;0;0;5;6;NA;0;1;5;5;5;4;1;0;0;4;5;0;"                                                ";"ANDRES URRUTIA                                  ";"                                                ";"LUCIANA GARZON                                  ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;3;2;1;2;1;4;4;2;4;4;4;3;4;2;3;1;1;"GENERATIVIDAD                                   ";"GASTON MOISSET                                  ";"LA VIDA VA                                      ";"ANDRES URRUTIA                                  ";"PAISAJISMO                                      ";"G. PINERO                                       ";12;4;3;3;9;NA;4;4;4;3;2;2;4;4;3;3;4
40;13;2;69;79;6;1;NA;4;"JUBILADA                                        ";"ABOGADA                                         ";10;1;0;6;1;2;2;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;NA;4;NA;4;NA;4;5;4;NA;"                                                ";"CANDELARIA SIMON                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";2;2;1;1;1;2;1;3;4;4;3;1;NA;3;3;1;3;1;3;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;13;2;65;80;6;42;NA;4;"AMA DE CASA                                     ";"PROFESORA DE INGLES UNIVERSITARIO               ";15;1;2;6;5;2;1;6;6;8;NA;NA;NA;NA;7;7;1;NA;NA;NA;NA;4;4;4;0;0;NA;5;3;NA;5;NA;5;5;5;3;"TEXTO Y PRETEXTO                                ";"MARCELO ACELSO                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;NA;NA;NA;4;NA;4;NA;NA;4;4;NA;NA;4;NA;NA;NA;4;"Y LA VIDA VA                                    ";"ANDRES URRUTIA                                  ";"PAISAJISMO                                      ";"                                                ";"                                                ";"                                                ";7;4;4;4;NA;4;NA;4;NA;NA;NA;NA;NA;4;NA;4;4
42;13;1;62;NA;6;8;NA;6;"JUBILADO                                        ";"ABOGADO                                         ";22;1;3;6;NA;3;3;6;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;NA;5;3;NA;NA;4;4;4;"RELACIONES INTERNACIONALES                      ";"PASCUAL                                         ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;4
43;13;1;72;NA;2;NA;74;6;"PATOLOGO                                        ";"PATOLOGO                                        ";8;0;3;6;NA;2;1;6;6;2;NA;7;1;2;2;3;1;NA;NA;NA;NA;NA;NA;NA;3;3;4;4;3;3;NA;NA;NA;4;3;NA;"PALABRAS Y GESTOS DE AMOR                       ";"ANDRES URRUTIA                                  ";"BORGES QUE ALGUNOS LLAMAN EL UNIVERSO           ";"BRIGNONE                                        ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;2;NA;4;3;4;4;4;2;NA;3;3;3;1;1;"PALABRAS Y GESTOS DE AMOR                       ";"URRUTIA                                         ";"BORGES QUE ALGUNOS LLAMAN EL UNIVERSO           ";"BRIGNONE                                        ";"                                                ";"                                                ";NA;4;3;3;3;4;3;4;4;3;2;1;2;3;3;3;4
44;13;2;64;73;6;5;NA;6;"JUBILADA                                        ";"ADMINISTRATIVA                                  ";9;1;9;6;3;3;3;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;4;NA;4;4;NA;NA;4;2;3;"ASTRONOMIA                                      ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;NA;NA;4;NA;4;NA;NA;"FRANCES                                         ";"                                                ";"TEATRO LEIDO                                    ";"                                                ";"INFORMATICA                                     ";"                                                ";NA;NA;3;NA;NA;NA;3;3;3;NA;NA;NA;NA;4;NA;NA;4
45;13;2;60;NA;6;0;NA;6;"JUBILADA                                        ";"VENDEDORA DE FOTOGRAFIAS                        ";17;1;1;4;1;1;1;3;6;1;1;NA;NA;7;2;7;0;0;0;NA;0;0;4;0;0;0;NA;4;2;NA;4;0;0;4;4;4;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;2;1;1;3;1;4;4;4;4;4;1;1;4;1;2;1;3;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;13;2;65;68;1;NA;NA;8;"JUBILADA                                        ";"PROFESORA UNIVERSITARIA                         ";3;0;NA;6;1;3;4;9;6;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;4;4;4;"VIEJOS DERECHOS Y NUEVAS LEYES                  ";"DIEGO FIEROLI                                   ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;NA;NA;NA;4;NA;4;NA;NA;NA;4;NA;NA;NA;NA;"INGLES                                          ";"IRENE KUFNER                                    ";"DANZAS                                          ";"COLO                                            ";"                                                ";"                                                ";2;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;13;2;64;70;2;NA;72;6;"                                                ";"COMERCIANTE                                     ";6;1;2;4;3;3;4;6;3;2;2;7;NA;0;1;1;1;0;0;0;0;0;4;2;4;2;4;4;3;1;4;0;3;3;2;4;"LAS CURVAS DE LAS EMOCIONES                     ";"CARLA ARONICA                                   ";"TALLER DE BORDADO EXPERIMENTAL                  ";"MILAGROS PRATTO                                 ";"                                                ";"                                                ";"                                                ";"                                                ";1;4;1;1;4;3;3;4;1;1;4;4;3;2;3;1;3;1;2;"COMPUTACION                                     ";"MARIANA                                         ";"COMPUTACION WORD                                ";"MIGUEL                                          ";"PNL III                                         ";"CORA GOTUSSO                                    ";4;4;3;4;3;3;3;4;3;4;1;2;3;3;3;3;4
48;13;2;65;78;6;7;NA;6;"JUBILADA                                        ";"SECRETARIA                                      ";13;1;3;4;NA;4;2;6;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;"ACUARELA SEGUNDO NIVEL                          ";"URSULA THOST                                    ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"PINTURA                                         ";"MARIME BIANCHI                                  ";"CANTO                                           ";"PUEBLA                                          ";"COMPUTACION                                     ";"PABLO SIMONASSI                                 ";NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;4;NA
49;13;2;60;NA;2;NA;73;4;"JUBILADA                                        ";"INSTRUMENTADORA QUIRURGICA                      ";6;0;NA;6;0;2;4;9;6;2;NA;7;NA;NA;7;7;NA;7;NA;NA;NA;5;NA;NA;5;NA;NA;5;NA;5;NA;NA;NA;5;5;NA;"INGLES                                          ";"KARINA MAGALLANES                               ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;4;NA;NA;NA;NA;4;4;NA;NA;4;NA;NA;4;NA;NA;NA;NA;"PNL                                             ";"CORA GOTUSSO                                    ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;4;NA;4;NA;NA;NA;NA;NA;NA;NA;4;4
50;13;2;62;NA;2;NA;59;6;"ESTUDIANTE                                      ";"AMA DE CASA                                     ";3;1;3;4;2;3;3;6;9;5;NA;7;NA;7;NA;NA;NA;NA;NA;NA;4;2;6;3;4;NA;4;NA;NA;NA;NA;NA;4;4;3;3;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;4;4;3;3;NA;3;4;NA;NA;NA;NA;4;NA;3;"MEMORIA                                         ";"GASTON MOISSET                                  ";"GENERATIVIDAD                                   ";"GASTON                                          ";"DIALOGANDO CON LOS SABIOS                       ";"GASTON MOISSET                                  ";6;3;NA;NA;NA;4;4;NA;3;3;3;3;NA;3;NA;4;NA
51;13;2;65;69;2;NA;73;4;"JUBILADA                                        ";"ADMINISTRATIVA UNC                              ";4;1;2;4;3;2;2;6;6;5;3;7;2;3;4;3;1;1;0;6;0;2;2;1;3;3;3;3;3;3;3;4;3;4;4;3;"JUGAR ACTIVAMENTE                               ";"PAULA CORCOBA                                   ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";2;4;3;2;1;3;3;4;4;3;4;4;3;2;3;2;4;1;4;"ATENCION MEMORIA EN ACCION                      ";"PAULA COROCOBA                                  ";"CONOCIENDO EL PATRIMONIO DE CBA                 ";"MARCELA ZAPATA                                  ";"                                                ";"                                                ";1;4;3;3;3;4;4;4;4;3;4;3;4;4;3;3;3
52;13;2;65;NA;2;NA;74;8;"JUBILADA                                        ";"QUIMICA                                         ";15;1;3;6;0;2;2;9;3;2;2;7;0;1;1;2;NA;1;0;NA;NA;2;NA;NA;4;3;5;4;4;5;5;NA;5;5;5;NA;"QUE NOS CUENTAN LAS OBRAS DE ARTE               ";"S. ROJO                                         ";"MUSICAS DE AQUI Y ALLA                          ";"M. ABALOS                                       ";"                                                ";"                                                ";"                                                ";"                                                ";1;1;1;1;1;1;1;1;1;4;4;4;1;1;4;1;1;1;1;"LINGUISTICA                                     ";"                                                ";"PINTURA                                         ";"                                                ";"CINE                                            ";"                                                ";12;4;NA;NA;NA;NA;4;4;4;NA;NA;NA;NA;4;NA;NA;4
53;13;2;65;69;2;NA;81;8;"RRHH                                            ";"PSICOLOGA                                       ";4;1;2;6;0;3;3;6;6;2;2;7;1;1;1;1;1;1;1;0;1;7;0;0;4;4;5;4;4;4;5;0;4;5;2;4;"CANTO E INICIACION CORAL                        ";"MA. E. PUEBLA                                   ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;3;1;1;3;1;1;1;2;3;3;3;3;2;1;4;1;3;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;13;2;58;60;3;NA;67;4;"JUBILADA                                        ";"BIOQUIMICA                                      ";2;1;3;6;1;3;3;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;"BAILOTERAPIA                                    ";"ERENIA SANCHEZ                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;4;NA;4;4;4;4;4;4;NA;4;NA;4;NA;4;"FOTOGRAFIA                                      ";"ROMINA MARTINO                                  ";"3                                               ";"                                                ";"                                                ";"                                                ";3;4;NA;NA;NA;NA;4;4;NA;NA;NA;NA;NA;4;NA;4;4
55;13;2;60;NA;6;20;NA;8;"AMA DE CASA                                     ";"AMA DE CASA                                     ";NA;NA;NA;4;2;4;4;NA;9;1;NA;NA;NA;7;1;7;7;1;NA;NA;NA;NA;7;NA;NA;1;5;4;4;4;NA;NA;NA;NA;4;NA;"FOLCLORE                                        ";"SUSANA CONCARI                                  ";"A TODO RITMO                                    ";"I. BRUSSA                                       ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
56;13;1;65;66;4;NA;NA;6;"JUBILADO                                        ";"CHOFER DE TAXI                                  ";1;1;1;5;NA;1;0;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;NA;3;NA;4;NA;NA;4;4;4;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;3;3;4;4;4;4;4;3;4;4;NA;4;4;3;3;1;3;"COMPUTACION                                     ";"FERNANDA MASCIMINO                              ";"                                                ";"                                                ";"                                                ";"                                                ";0;3;3;3;3;3;4;4;4;4;3;3;3;4;3;4;4
57;13;2;74;74;6;9;NA;4;"JUBILADA                                        ";"CONTADOR                                        ";0;0;NA;6;1;2;4;6;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;NA;NA;4;NA;NA;NA;NA;4;NA;4;4;4;4;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"FOTOGRAFIA                                      ";"NIKA                                            ";"BAILOTERAPIA                                    ";"ELENA                                           ";"                                                ";"                                                ";1;3;3;2;2;2;4;4;2;2;2;3;3;3;3;3;3
58;13;2;65;72;5;NA;NA;2;"JUBILADA                                        ";"AGENTE DE VIAJES                                ";6;1;2;5;2;1;2;6;6;1;1;NA;NA;NA;NA;4;2;NA;2;NA;NA;5;4;NA;0;3;4;0;3;NA;2;NA;4;4;3;4;"DIALOGANDO CON LOS SABIOS                       ";"GASTON MOISSET                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;4;NA;NA;3;NA;NA;4;4;NA;3;NA;NA;NA;NA;3;"ENTRENAMIENTO COGNITIVO                         ";"GASTON MOISSET                                  ";"GENERATIVIDAD                                   ";"GASTON                                          ";"GENERATIVIDAD II                                ";"GOTUSSO                                         ";NA;3;NA;3;NA;3;4;4;3;4;NA;3;NA;2;NA;3;3
59;13;2;62;69;5;NA;NA;6;"JUBILADA                                        ";"DOCENTE                                         ";7;1;3;6;1;3;3;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;3;4;3;4;4;0;4;4;3;3;"INGLES II                                       ";"KARINA MAGALLANES                               ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;3;2;2;4;4;4;4;3;3;3;3;3;NA;1;4;1;3;"INGLES I                                        ";"KARIGA MAGALLANES                               ";"1                                               ";"                                                ";"                                                ";"                                                ";1;3;3;3;3;4;4;4;4;3;1;3;1;3;3;3;4
60;13;2;60;67;3;NA;70;6;"JUBILADA                                        ";"CONTADOR                                        ";7;0;NA;6;1;2;3;9;6;2;2;7;2;3;3;3;3;3;0;5;NA;3;3;NA;5;5;5;5;5;5;5;5;5;5;5;5;"A TODO RITMO                                    ";"COLO                                            ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;4;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
61;13;2;65;74;5;NA;NA;4;"                                                ";"EMPRESARIA VINATERA                             ";10;1;2;4;NA;2;3;9;6;1;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;3;NA;3;4;NA;4;NA;NA;NA;NA;NA;4;3;NA;"DIALOGANDO CON LOS SABIOS                       ";"GASTON MOISSET                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";1;4;3;1;1;4;1;1;1;1;4;4;1;NA;2;1;3;1;1;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";10;3;2;2;2;2;3;2;3;3;1;1;1;2;1;1;3
62;13;2;57;59;2;NA;62;8;"JUBILADA                                        ";"DIRECTORA NIVEL INICIAL                         ";2;1;3;5;1;4;2;9;6;2;2;7;1;4;NA;6;5;NA;1;1;NA;5;NA;NA;4;4;4;NA;4;NA;4;4;4;4;4;NA;"COMPUTACION Y FOTOGRAFIA DIGITAL                ";"ROMINA MARTINO                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";1;3;1;1;1;1;1;1;3;1;4;3;NA;NA;NA;NA;NA;NA;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63;13;2;63;67;2;NA;76;6;"AMA DE CASA                                     ";"AMA DE CASA                                     ";4;0;NA;4;NA;2;4;9;9;2;NA;7;NA;4;2;2;1;1;NA;NA;NA;3;5;7;4;4;5;5;5;5;3;3;3;4;4;3;"COMPUTACION                                     ";"LUCIANA GARZON                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;NA;NA;4;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;"COMPUTACION                                     ";"LUCIANA GARZON                                  ";"                                                ";"                                                ";"                                                ";"                                                ";1;4;3;3;4;4;4;4;4;3;1;3;4;4;4;3;3
64;13;2;60;6;2;NA;66;NA;"JUBILADA                                        ";"DOCENTE                                         ";7;1;NA;4;1;2;2;NA;6;5;3;1;NA;1;NA;2;1;NA;NA;NA;NA;NA;1;NA;3;NA;3;NA;3;NA;NA;NA;3;3;3;3;"MINDFULNESS II                                  ";"GRISELDA ROCHA                                  ";"PNL I                                           ";"CORA GOTUSSO                                    ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;3;NA;NA;NA;NA;3;3;NA;3;3;NA;NA;3;NA;3;NA;NA;"MINDFULNESS                                     ";"GRISELADA ROCHA                                 ";"PNL I                                           ";"CORA GOTUSSO                                    ";"                                                ";"                                                ";6;NA;NA;NA;NA;NA;3;3;NA;NA;NA;NA;NA;3;NA;NA;3
65;13;2;63;NA;2;NA;64;4;"AMA DE CASA                                     ";"AMA DE CASA                                     ";2;1;2;4;1;2;2;6;0;5;3;7;0;NA;7;NA;NA;NA;0;NA;NA;NA;7;NA;4;NA;NA;4;NA;NA;NA;NA;NA;3;3;NA;"TALLER DE FOLKLORE                              ";"SUSANA CONCARI                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;3;9;9;3;9;3;9;3;3;3;9;3;9;9;3;1;3;"TALLER DE FOLKLORE                              ";"SUSANA CONCARI                                  ";"                                                ";"                                                ";"                                                ";"                                                ";1;3;3;3;9;3;3;3;3;9;9;9;3;3;3;3;9
66;13;2;61;63;1;NA;NA;NA;"JUBILADA                                        ";"SECRETARIA                                      ";2;0;NA;4;NA;2;2;6;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;NA;NA;"TAI CHI                                         ";"P. GARRIBIA                                     ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";1;4;1;4;1;1;1;4;3;1;4;4;1;1;2;1;1;1;3;"COMPUTACION                                     ";"RODRIGO                                         ";"                                                ";"                                                ";"                                                ";"                                                ";1;3;9;9;9;3;1;4;2;3;1;1;9;9;2;2;4
67;13;2;65;70;4;NA;NA;4;"JUBILADA                                        ";"ABOGADA                                         ";5;1;1;6;1;3;3;6;3;1;NA;6;1;66;7;NA;NA;NA;0;NA;0;1;0;0;3;4;2;5;0;0;4;0;4;4;4;4;"JUGAR ACTIVAMENTE                               ";"GASTON MOISSET                                  ";"MINDFULNESS                                     ";"ROCHA GRISELDA                                  ";"                                                ";"                                                ";"                                                ";"                                                ";1;1;1;1;1;1;1;4;4;1;4;4;1;1;4;1;1;1;1;"ENTRENAMIENTO COGNITIVO                         ";"GASTON MOISSET                                  ";"                                                ";"                                                ";"                                                ";"                                                ";2;2;1;1;1;2;NA;4;2;1;1;2;1;2;1;1;2
68;13;2;61;62;6;1;NA;4;"JUBILADA                                        ";"FUNCIONARIA                                     ";1;1;3;6;NA;2;2;9;6;7;2;NA;6;0;6;7;0;5;0;7;NA;5;4;NA;NA;4;1;5;1;3;4;5;3;4;3;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;3;NA;3;3;NA;3;NA;NA;NA;3;NA;NA;NA;NA;4;NA;NA;"JUGAR ACTIVAMENTE                               ";"MOISSET                                         ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;NA;NA;NA;NA;3;NA
69;13;2;61;62;6;10;NA;4;"JUBILADA                                        ";"SECRETARIA DE JUZGADO                           ";18;1;2;6;2;1;1;3;3;3;2;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;3;NA;NA;"INGLES PARA VIAJEROS                            ";"MASCIARI                                        ";"LA VIDA ES UN CARNAVAL                          ";"M. URRUTIA                                      ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;3;NA;3;3;3;3;NA;NA;3;3;NA;NA;NA;NA;4;NA;NA;"JUGAR ACTIVAMENTE                               ";"MOISSET                                         ";"                                                ";"                                                ";"                                                ";"                                                ";2;3;NA;3;NA;3;3;3;3;3;2;2;2;NA;3;3;3
70;13;1;65;76;6;2;NA;6;"ESCRITOR                                        ";"GERENTE BANCARIO                                ";11;1;3;4;1;3;3;9;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;2;2;0;2;0;0;NA;4;3;NA;"MAS DE UN SIGLO DE MALDAD INSOLENTE             ";"MANUEL PASCUAL                                  ";"TALLER DE ESCRITURA Y LECTURA CREATIVA          ";"JAVIER QUINTA                                   ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;4;1;1;4;1;4;4;1;2;2;4;2;4;4;4;1;2;"NARRATIVA                                       ";"                                                ";"GENERATIVIDAD                                   ";"                                                ";"RESILIENCIA                                     ";"                                                ";11;2;3;2;1;3;3;3;2;1;1;4;2;3;3;3;2
71;13;1;63;NA;5;NA;NA;8;"JUBILADO                                        ";"MEDICO                                          ";5;1;4;6;2;3;3;9;6;3;2;NA;1;9;1;NA;NA;NA;1;NA;NA;4;1;7;NA;5;5;5;NA;NA;5;NA;NA;5;5;5;"COMPUTACION Y FOTOGRAFIA DIGITAL                ";"MARTINO                                         ";"TALLER DE FOTOGRAFIA PARA PRINCIPIANTES Y ACTIVO";"MARTINO                                         ";"                                                ";"                                                ";"                                                ";"                                                ";3;4;2;1;1;3;1;4;4;1;4;4;9;9;4;1;4;9;4;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
72;13;1;65;75;2;NA;68;6;"JUBILADA                                        ";"TECNICA CONTROL DE CALIDAD                      ";10;1;3;4;0;2;2;6;6;2;2;7;0;NA;0;0;0;0;0;0;0;4;3;NA;5;NA;NA;5;NA;NA;4;NA;3;3;3;3;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
