"X";"ID";"DNI";"SEXO";"EDADJUBILACION";"GRUPOTOMA";"TOMA";"NRO";"EDAD";"ECIVIL";"TIEMPOVIUDA";"EDADCONY";"ANIMO";"OCUPACION";"ULTIMAOCUPACION";"HACECUANTO";"CAMBIOJUBIL";"COMOCAMBIO";"NIVELESTUDIOS";"VECESMEDICO";"SALUDSUBJ";"SALUDSATIS";"VIDASTIS";"HACIENDOMAYOR";"CONQUIENVIVE";"MIEMBROSHOGAR";"VECES1";"VECES2";"VECES3";"VECES4";"VECES5";"VECES6";"VECES7";"VECES8";"VECES9";"VECES10";"VECES11";"VECES12";"VECES13";"LLEVA1";"LLEVA2";"LLEVA3";"LLEVA4";"LLEVA5";"LLEVA6";"LLEVA7";"LLEVA8";"LLEVA9";"LLEVA10";"LLEVA11";"LLEVA12";"MOTIVO1";"MOTIVO2";"MOTIVO3";"MOTIVO4";"MOTIVO5";"MOTIVO6";"MOTIVO7";"MOTIVO8";"MOTIVO9";"MOTIVO10";"MOTIVO11";"MOTIVO12";"MOTIVO13";"MOTIVO14";"MOTIVO15";"MOTIVO16";"MOTIVO17";"MOTIVO18";"MOTIVO19";"AÑOS";"LOGROS1";"LOGROS2";"LOGROS3";"LOGROS4";"LOGROS5";"LOGROS6";"LOGROS7";"LOGROS8";"LOGROS9";"LOGROS10";"LOGROS11";"LOGROS12";"LOGROS13";"LOGROS14";"LOGROS15";"LOGROS16"
611;553;451;2;78;"B";4;682;83;1;NA;NA;4;"JUBILADA                                        ";"EMPLEADA                                        ";5;1;1;3;0;2;1;6;6;7;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;4;NA;4;4;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2139;1789;524;1;74;"A";1;313;75;2;NA;72;6;"JUBILADO                                        ";"CONSULTOR                                       ";11;2;3;6;2;2;2;9;6;2;2;7;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;4;0;0;4;0;4;3;0;3;NA;3;3;1;2;1;1;1;2;1;1;3;1;2;2;2;2;3;3;1;1;2;1;2;NA;2;2;2;3;3;2;2;2;2;2;2;2;2;NA
168;165;872;2;59;"D";10;99;74;2;NA;82;8;"JUBILADA                                        ";"PROF HISTORIA                                   ";15;1;4;6;1;2;3;6;6;2;2;7;1;1;3;1;1;3;0;0;1;2;2;NA;4;NA;3;5;3;4;3;0;2;4;3;3;2;3;1;1;1;1;1;2;3;2;3;2;4;1;2;1;2;1;2;6;3;3;3;2;2;3;4;3;3;2;3;2;3;3;3;4
979;879;635;2;75;"B";4;650;88;6;7;NA;8;"AMA DE CASA                                     ";"DIRECTODIREC. EM                                ";13;1;0;4;2;2;2;9;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;4;4;NA;NA;NA;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
2040;1709;434;2;50;"A";1;385;74;2;NA;74;6;"JUBILADA                                        ";"DOCENTE0                                        ";24;1;3;5;1;2;2;6;6;2;2;7;0;4;3;4;3;2;0;0;0;2;4;0;4;0;4;4;4;4;3;0;3;3;3;NA;1;4;1;1;1;3;NA;3;NA;3;3;NA;1;3;3;1;1;1;1;10;3;3;3;2;4;3;3;2;3;2;2;2;3;2;2;3
945;848;78;2;50;"A";2;957;76;6;36;NA;4;"JUBILADA                                        ";"DOCENTE                                         ";26;1;9;5;0;2;2;6;0;1;NA;NA;NA;NA;3;NA;NA;1;NA;NA;1;1;2;NA;NA;NA;NA;5;NA;5;NA;NA;5;5;5;5;NA;4;NA;NA;NA;NA;4;4;NA;NA;4;4;NA;NA;NA;NA;4;NA;NA;12;4;NA;4;NA;NA;3;4;4;4;NA;3;NA;4;NA;3;4
1284;1120;346;1;60;"A";2;606;70;2;NA;NA;6;"                                                ";"DOCENTE                                         ";10;0;NA;6;NA;2;2;6;9;NA;NA;7;1;NA;3;NA;NA;3;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;4;NA;NA;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2124;1776;120;2;60;"A";2;908;71;5;NA;71;8;"JUBILADA                                        ";"COMERCIANTE                                     ";2;0;NA;5;NA;3;2;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;3;NA;3;NA;NA;NA;NA;5;NA;NA;4;4;NA;NA;NA;NA;NA;4;4;NA;4;4;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1612;1380;776;2;61;"A";2;651;66;2;NA;63;4;"JUBILADA                                        ";"AMA DE CASA                                     ";5;1;3;3;NA;2;2;6;6;2;NA;NA;0;0;NA;0;0;0;NA;NA;NA;0;0;0;3;NA;4;4;4;4;9;9;3;4;3;3;4;4;4;2;NA;2;9;4;4;NA;4;3;9;9;2;1;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
221;213;574;2;62;"D";10;207;62;5;NA;NA;6;"                                                ";"                                                ";NA;1;3;6;2;2;2;6;6;1;NA;NA;3;2;NA;2;NA;NA;2;NA;NA;1;7;NA;0;4;4;NA;3;NA;4;NA;NA;5;4;NA;3;4;NA;1;1;3;9;1;1;3;9;3;1;9;3;1;4;9;2;NA;3;9;9;9;3;3;4;3;9;2;9;9;9;3;3;3
1155;1015;904;2;65;"A";1;80;66;2;NA;66;4;"AMA DE CASA                                     ";"AMA DE CASA                                     ";1;1;NA;4;1;2;2;6;9;2;2;7;NA;1;NA;7;7;NA;NA;NA;NA;2;7;NA;5;NA;3;NA;3;NA;NA;NA;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;4;4;3;4;2;4;4;3;NA;3;3;4;4;4;NA
2678;2209;395;2;56;"B";4;330;73;4;NA;NA;4;"JUBILADA                                        ";"DOCENTE                                         ";16;1;3;6;1;2;2;3;6;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;2;3;0;0;0;0;3;4;3;3;3;4;3;2;2;2;2;4;4;3;3;3;3;3;3;1;3;1;3;8;4;3;3;2;3;3;3;3;3;2;2;2;3;3;3;3
2546;2106;29;2;64;"A";1;139;69;6;5;NA;6;"AMA DE CASA                                     ";"COMERCIO                                        ";5;1;4;4;NA;2;3;9;0;1;NA;NA;1;NA;4;NA;NA;NA;NA;NA;NA;7;7;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;4;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;3;NA;4;NA;NA;4;3;NA;NA;NA;NA;3;4;3;NA;NA;NA;4;4;3;3;3
694;628;16;1;65;"B";4;455;85;2;NA;80;4;"JUBILADO                                        ";"                                                ";20;0;2;4;NA;2;2;6;6;2;2;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
2655;2188;803;2;65;"A";1;518;67;2;NA;72;4;"JUBILADA                                        ";"                                                ";1;1;2;6;3;1;1;3;3;2;2;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;5;5;4;NA;NA;NA;NA;4;NA;NA;4;4;4;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2027;1699;217;1;60;"B";4;1;53;1;NA;NA;4;"EMPRESARIA                                      ";"EMPLEADA ADM                                    ";2;NA;NA;3;2;3;2;9;6;7;NA;0;2;0;0;0;0;0;1;2;2;5;0;0;0;0;0;0;0;0;0;3;3;3;3;3;NA;3;NA;NA;NA;3;3;3;4;4;4;4;NA;NA;4;NA;3;NA;NA;3;4;3;4;4;3;2;4;3;NA;NA;NA;NA;NA;4;4;4
2247;1874;992;2;62;"A";1;260;76;1;NA;NA;4;"JUBILADA                                        ";"PODER JUDICIAL                                  ";10;2;NA;6;NA;2;9;6;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;3;4;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;3;NA;NA;NA;NA;NA;NA;2;4;NA;NA;NA;4;NA;4;NA;NA;NA;4;NA;3;NA;3;NA
128;128;266;2;62;"E";13;7079;72;6;6;NA;6;"                                                ";"ENFERMERA                                       ";10;1;NA;6;NA;3;2;6;9;1;NA;NA;1;2;3;7;7;7;NA;NA;2;0;0;0;0;3;3;3;3;3;3;0;9;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;NA;NA;NA;NA;3;3;3;3;3;3;NA;NA;3;NA;3
899;805;496;2;60;"A";2;338;69;3;NA;NA;6;"JUBILADA                                        ";"                                                ";2;1;3;4;3;3;4;6;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;NA;NA;NA;NA;NA;NA;NA;NA;5;5;NA;4;NA;NA;NA;NA;NA;4;NA;NA;4;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
852;768;558;2;65;"B";4;122;66;2;NA;69;8;"JUBILADA                                        ";"SECRETARIA                                      ";1;0;NA;5;2;3;2;9;6;2;2;7;2;2;5;4;3;5;3;NA;NA;5;5;NA;5;5;5;5;4;5;5;NA;4;5;5;5;3;4;4;2;2;4;4;4;NA;2;4;4;4;4;4;2;4;1;4;5;4;4;3;2;4;4;4;4;3;2;3;3;4;3;3;4
438;407;42;2;3;"A";1;273;63;2;NA;69;4;"JUBILADA                                        ";"SECR. DOCENTE                                   ";1;1;2;4;2;2;2;6;9;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;3;3;3;3;NA;NA;3;3;3;3;3;3;3;3;3;3;3;3;9;3;3;3;9;3;NA;3;NA;NA;3;3;3;3;3;3;3;3;3;3;9;9;9;3;3;3;NA
1510;1299;138;2;61;"B";4;740;74;6;3;NA;4;"JUBILADA                                        ";"DOCENTE                                         ";13;1;3;5;2;2;2;6;9;1;NA;NA;NA;1;3;2;1;1;1;NA;NA;3;2;NA;NA;3;4;4;4;4;4;NA;3;3;4;3;NA;4;NA;NA;NA;NA;NA;4;4;NA;4;NA;NA;NA;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;3;NA;3;3;4;NA;4;NA
1967;1660;325;2;65;"A";2;601;67;5;NA;NA;6;"PROF. PARTICULAR                                ";"DOCENTE                                         ";2;1;3;5;1;3;2;6;9;1;1;NA;NA;2;7;7;NA;NA;NA;NA;3;4;4;7;0;0;5;5;5;5;5;0;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
73;73;279;1;65;"E";13;7117;68;6;3;NA;4;"JUBILADO                                        ";"QUIMICO                                         ";3;1;1;6;1;2;2;6;3;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;NA;NA;NA;NA;2;NA;2;NA;NA;NA;3;3;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
1806;1533;416;2;61;"A";1;897;63;4;NA;NA;6;"JUBILADA                                        ";"DIRECTORA DE ESC                                ";2;1;1;5;1;2;2;9;9;1;NA;NA;NA;NA;4;4;NA;4;NA;NA;NA;1;3;NA;NA;4;NA;5;NA;4;4;0;5;5;5;NA;1;4;1;1;1;4;1;4;4;4;4;4;9;9;4;1;1;9;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2675;2206;89;1;56;"A";2;634;70;2;NA;70;8;"JUBILADO                                        ";"CHAPISTA DE AUTO                                ";19;0;2;2;1;2;4;9;9;2;NA;7;3;1;2;NA;NA;NA;NA;NA;NA;2;2;NA;4;5;5;5;1;2;NA;NA;NA;5;5;5;4;4;NA;NA;NA;3;3;NA;3;3;3;3;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
882;792;702;2;55;"D";10;307;68;2;NA;68;6;"AMA DE CASA                                     ";"NUTRICIONISTA                                   ";13;1;3;6;1;2;2;9;9;2;NA;7;NA;5;7;7;NA;3;NA;NA;NA;4;NA;3;5;NA;5;5;3;3;NA;NA;4;4;3;4;NA;4;NA;NA;NA;4;3;4;4;NA;4;4;NA;4;NA;NA;4;NA;4;10;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4
1717;1462;221;1;55;"A";2;76;69;2;NA;65;6;"                                                ";"                                                ";14;0;NA;3;2;2;4;6;9;5;NA;7;7;7;7;7;7;7;7;7;7;7;7;7;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;NA;NA;NA;NA;4;3;4;1;4;3;NA;3;4;1;9;9;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
681;615;833;2;62;"B";4;481;68;2;NA;71;2;"JUBILADA                                        ";"COMERCIANTE                                     ";6;1;3;4;1;4;4;6;9;2;2;7;0;3;2;2;0;0;0;NA;NA;1;NA;NA;1;2;3;3;3;2;4;0;0;3;0;4;4;4;2;1;3;2;1;3;3;3;3;3;9;9;9;4;1;1;3;1;3;3;2;2;3;3;4;4;2;1;1;NA;3;4;2;2
1064;943;792;1;68;"B";5;50100;84;1;NA;84;6;"INGENIERO JUBILA                                ";"PROF TITULAR UNC                                ";17;0;NA;6;2;2;2;9;6;2;2;7;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;4;5;NA;NA;NA;NA;4;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA;3;2;NA;NA;3;3;3;4;2;NA;1;9;9;3;3;3;3
2457;2035;751;2;65;"D";11;419;NA;6;5;NA;NA;"                                                ";"ADMINISTRATIVA                                  ";7;1;2;4;2;2;2;6;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;0;5;0;4;0;3;4;4;4;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1910;1616;614;2;56;"B";5;50244;67;5;NA;NA;6;"JUBILADA                                        ";"DOCENTE                                         ";10;0;NA;6;0;2;2;6;3;1;1;NA;2;2;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;3;5;NA;NA;NA;NA;NA;3;4;3;3;NA;4;NA;NA;NA;4;NA;4;4;NA;NA;NA;4;NA;NA;NA;4;NA;NA;8;3;3;3;2;2;3;3;3;1;1;NA;NA;3;3;3;3
633;573;860;2;65;"A";1;214;67;2;NA;80;6;"JUBILADA                                        ";"EMPRESARIA                                      ";2;2;NA;4;NA;3;4;9;6;2;2;7;7;7;2;2;2;NA;NA;NA;NA;NA;NA;NA;3;4;5;5;4;NA;NA;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2327;1932;396;2;61;"D";10;203;68;6;10;NA;6;"JUBILADA                                        ";"ADMINISTRATIVA                                  ";7;1;3;4;2;2;1;6;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;3;NA;5;NA;4;4;NA;NA;4;4;3;4;4;4;4;3;4;3;3;3;1;3;4;3;2;3;1;3;1;3;7;4;3;3;3;3;4;4;4;3;1;2;3;3;3;3;3
844;760;321;1;58;"B";4;144;59;2;NA;57;8;"JUBILADO                                        ";"GTE BCO PCIA CBA                                ";2;1;3;6;1;2;2;9;9;2;2;7;1;2;NA;6;1;NA;NA;3;NA;5;NA;NA;4;3;4;0;4;0;4;NA;3;3;5;3;3;3;2;1;1;3;1;4;3;2;4;3;2;3;3;1;2;1;3;3;3;9;9;9;3;2;4;3;9;2;3;1;3;3;3;3
1054;937;692;2;60;"E";13;7010;64;2;NA;70;8;"AMA DE CASA                                     ";"ADMINISTRATIVA                                  ";4;1;4;2;1;4;4;9;9;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;5;5;NA;NA;NA;NA;NA;5;5;5;4;4;NA;4;NA;4;4;4;NA;NA;4;4;NA;4;4;NA;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
706;639;914;2;64;"B";4;424;78;2;NA;81;8;"JUBILADA                                        ";"DOCENTE                                         ";14;1;4;5;6;2;2;6;6;2;2;7;3;2;3;3;2;3;2;NA;NA;2;2;NA;4;4;4;4;5;5;5;0;4;4;4;NA;4;4;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;5;3;3;2;3;2;NA;3;4;3;3;1;3;NA;3;3;3
2669;2201;576;1;58;"B";4;17;61;2;NA;59;6;"JUBILADO                                        ";"CONTADOR PUBLICO                                ";3;1;3;6;NA;3;3;9;9;2;2;7;2;2;4;3;3;3;1;NA;NA;2;NA;NA;5;5;5;5;5;5;5;NA;3;3;3;3;4;4;1;1;NA;4;4;4;1;1;4;4;1;1;1;1;1;1;1;4;4;3;3;1;3;4;4;4;4;4;4;3;NA;2;2;3
179;175;948;2;61;"D";10;77;63;2;NA;60;4;"AMA DE CASA                                     ";"EMPLEADA                                        ";2;0;NA;5;NA;1;3;6;6;5;NA;7;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;5;0;0;0;5;0;4;NA;5;4;NA;4;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;4;4;NA;NA;3;4;4;3;3;NA;NA;4;4;3;4;4
834;750;78;2;60;"B";4;360;NA;2;NA;80;8;"JUBILADA                                        ";"ODONTOLOGA                                      ";24;0;NA;6;3;3;2;6;6;7;NA;7;7;6;6;7;5;7;5;0;NA;4;0;0;NA;NA;5;5;5;5;4;0;5;5;4;4;NA;4;4;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;NA;4;3;3;4;3;3;4;4;3;3;2;3;4;3;4;4;4
2466;2042;286;2;53;"B";4;344;65;1;NA;NA;4;"JUBILADA                                        ";"DOCENTE                                         ";12;1;2;4;1;2;2;6;9;1;3;3;3;3;4;2;3;3;3;1;3;3;2;3;3;2;3;1;NA;NA;2;NA;3;4;4;4;3;3;3;3;4;2;3;3;3;1;3;3;2;3;3;2;3;1;2;9;3;3;3;2;3;3;3;3;3;1;3;2;3;3;3;3
81;81;683;2;15;"E";13;6089;70;6;15;NA;4;"AMA DE CASA                                     ";"PENSIONADA                                      ";1;2;4;NA;2;2;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;5;5;5;5;3;0;3;3;3;9;4;4;4;4;4;4;3;4;4;4;4;4;9;4;4;9;4;1;4;4;4;4;4;9;4;4;4;4;9;1;1;4;4;4;4;4
94;94;644;2;57;"E";13;6046;71;6;15;NA;6;"JUBILADA                                        ";"PSICOLOGA                                       ";14;1;9;6;0;3;2;6;6;4;3;NA;1;2;7;7;2;4;NA;NA;NA;2;NA;NA;5;5;5;5;5;3;4;NA;4;4;3;NA;NA;4;NA;NA;NA;4;4;4;4;4;4;4;NA;NA;NA;NA;NA;NA;4;1;4;NA;NA;NA;NA;4;4;4;NA;NA;NA;NA;4;NA;NA;4
2093;1752;638;1;67;"B";5;50068;69;2;NA;66;8;"JUBILADO                                        ";"DIRECTOR SA                                     ";2;1;3;NA;NA;3;3;9;9;2;2;7;0;7;0;7;7;0;0;NA;NA;7;7;NA;5;4;5;3;5;1;0;0;3;5;4;4;2;4;1;1;1;4;3;4;4;3;4;4;2;NA;4;2;4;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1871;1583;578;1;55;"D";10;128;61;2;NA;62;8;"JUBILADO                                        ";"POLICIA                                         ";11;0;NA;5;0;9;3;9;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;0;3;NA;NA;NA;NA;3;3;3;3;4;4;4;1;1;1;1;4;4;2;4;4;1;1;4;1;2;1;3;1;4;1;2;1;1;1;4;4;1;1;3;1;2;1;2;4
35;35;975;2;60;"E";13;7211;NA;2;NA;71;4;"JUBILADA                                        ";"DOCENTE NIVEL INICIAL                           ";11;1;0;4;3;2;2;3;6;2;2;7;3;5;6;7;6;2;NA;NA;NA;2;3;NA;1;3;3;3;3;NA;NA;NA;NA;3;3;NA;3;4;3;4;3;4;1;4;4;1;4;4;NA;4;2;1;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1549;1334;447;2;53;"A";2;464;72;6;23;NA;NA;"JUBILADA                                        ";"DOCENTE                                         ";19;1;2;5;1;NA;2;6;6;3;2;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;2;3;NA;NA;4;NA;NA;3;NA;NA;4;NA;4;4;4;3;3;NA;NA;NA;3;NA;4;NA;NA;4;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
559;512;231;2;60;"D";11;385;62;2;NA;57;6;"JUBILADO                                        ";"MINISTERO EDU                                   ";1;0;NA;6;1;3;2;6;9;5;3;7;0;7;1;5;5;1;0;0;0;5;5;5;5;4;5;5;4;5;3;0;3;5;4;3;NA;4;NA;NA;NA;4;NA;4;4;NA;4;4;NA;NA;4;NA;4;NA;4;1;4;NA;NA;NA;NA;4;4;4;NA;NA;NA;NA;4;4;4;4
15;15;214;1;60;"E";13;7262;68;6;5;NA;8;"                                                ";"COSMETOLOGA                                     ";8;1;4;2;NA;3;2;9;9;1;NA;NA;NA;NA;5;5;NA;5;7;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;NA;4;5;5;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1565;1344;987;2;55;"C";7;70342;NA;2;NA;74;4;"AMA DE CASA                                     ";"DOCENTE                                         ";18;1;3;6;NA;3;2;6;9;2;NA;7;2;0;3;0;0;0;2;NA;5;5;4;5;3;3;NA;4;3;3;3;NA;3;3;3;3;4;4;4;2;3;3;3;4;3;3;3;4;3;3;4;3;3;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2386;1982;717;2;55;"B";4;726;69;3;NA;62;8;"JUBILADA                                        ";"SECRETARIA                                      ";15;0;NA;5;NA;4;4;9;6;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;4;NA;3;NA;4;NA;4;5;3;3;4;4;1;1;1;3;3;3;4;1;4;4;1;1;3;1;4;1;4;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2362;1962;632;2;52;"B";4;290;61;5;NA;NA;6;"JUBILADA                                        ";"DOCENTE                                         ";9;1;3;5;0;3;2;9;6;1;NA;NA;7;NA;7;NA;NA;5;7;NA;5;5;NA;NA;NA;5;NA;5;NA;5;5;NA;NA;5;4;NA;4;4;3;NA;NA;NA;NA;4;4;NA;4;4;NA;NA;4;NA;4;NA;4;NA;4;NA;3;NA;NA;4;4;4;NA;2;3;NA;4;4;3;4
441;410;706;2;18;"A";1;866;78;6;16;NA;NA;"JUBILADA                                        ";"COMERCIO                                        ";10;1;3;1;1;2;4;9;NA;NA;NA;NA;2;1;2;NA;NA;NA;NA;NA;NA;1;3;NA;NA;4;4;5;NA;NA;NA;NA;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;2;2;2;4;4;3;33;33;2;3;3;3;3;3;3
2637;2178;75;2;65;"B";4;106;NA;6;1;NA;4;"JUBILADA                                        ";"DOCENTE                                         ";5;1;2;5;NA;2;2;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;NA;NA;NA;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2053;1719;628;2;61;"A";1;783;NA;4;NA;NA;8;"JUBILADA                                        ";"DOCENTE                                         ";2;1;3;5;2;4;4;9;9;1;1;NA;1;2;2;NA;2;NA;NA;NA;NA;1;NA;NA;NA;4;5;5;3;NA;NA;NA;NA;5;5;NA;4;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1874;1585;234;2;47;"A";1;268;67;2;NA;66;6;"JUBILADA                                        ";"                                                ";20;1;3;5;NA;3;3;9;9;2;2;7;6;6;6;6;6;6;6;6;6;6;6;NA;5;5;5;5;5;5;5;5;4;5;4;NA;4;3;NA;NA;NA;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;9;4;NA;NA;NA;4;4;4;4;NA;NA;NA;NA;4;NA;NA;4
2232;1861;575;2;3;"A";2;369;51;6;11;NA;6;"                                                ";"MARROQUINERIA                                   ";3;0;NA;4;1;2;2;3;6;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;NA;4;4;NA;4;3;3;3;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
383;357;113;2;58;"B";5;50138;62;2;NA;64;6;"JUBILADA                                        ";"ENFERMERA SUPERV                                ";4;1;2;6;0;2;4;9;6;2;2;7;0;1;7;2;NA;1;0;0;2;2;3;0;5;4;5;5;4;4;4;NA;4;4;4;4;3;3;NA;NA;1;3;3;4;4;3;3;3;2;3;3;4;4;1;2;1;3;3;2;2;3;3;4;3;3;1;2;3;4;3;3;3
